Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,4/23/2022,David Sexton,VGSW,AE,3-17,38.0705,-122.9178
Incidental,2/27/2024,Beth Schriock,MODO,AE,12-17,38.07055,-122.54892
Incidental,8/10/2023,Beth Schriock,MODO,AE,12-17,38.07055,-122.54892
Incidental,4/4/2024,"Schriock, Beth",MODO,AE,12-17,38.07055,-122.549
Incidental,5/15/2022,Nancy Hanson,CLSW,AE,6-17,38.07495908,-122.811064
Incidental,6/1/2022,Bob Battagin,TRES,AE,9-5,38.078415,-122.72601
Incidental,4/22/2024,William Legge,RTHA,AE,12-17,38.078705,-122.541065
Incidental,4/22/2024,William Legge,MUSW,AE,12-17,38.078872,-122.542138
Incidental,5/8/2024,Maggie Rufo,EUST,AE,12-17,38.08028191,-122.5522775
Incidental,6/1/2025,Mike McClaskey,TRES,AE,6-6,38.08039,-122.813797
Incidental,7/5/2025,Mike McClaskey,VGSW,AE,6-6,38.080586,-122.813962
Incidental,7/20/2023,Joel Hedgpeth,WESO,AE,12-4,38.0874,-122.5804
Incidental,5/11/2022,David Sexton,CORA,AE,12-16,38.0875,-122.4987
Incidental,6/15/2021,Susan Kelly,HOSP,AE,12-15,38.09214,-122.554718
Incidental,5/11/2024,Carleton Eyster,BUSH,AE,6-3,38.09506,-122.85007
Incidental,5/5/2022,Rasia Holzman Smith,HOFI,AE,12-15,38.095992,-122.553849
Incidental,5/18/2022,Maggie Montenegro/ Rasia Holzman Smith,HOFI,AE,12-15,38.096469,-122.554478
Incidental,6/15/2023,Carolyn Longstreth,ACWO,AE,6-3,38.098793,-122.859764
Incidental,6/2/2021,Susan Kelly,TRES,AE,12-15,38.1003,-122.53464
Incidental,5/1/2024,Daphne Hatch,BAEA,AE,9-16,38.10223,-122.655461
Incidental,4/16/2024,Daphne Hatch,WBNU,AE,9-16,38.1030241,-122.6399266
Incidental,4/30/2024,Daphne Hatch,WTSW,AE,12-14,38.1052368,-122.51131
Incidental,7/13/1905,Jeanine Starritt,GRHE,AE,12-2,38.10925,-122.580123
Incidental,4/17/2025,Daphne Hatch,GBHE,AE,9-14,38.115126,-122.641403
Incidental,4/18/2022,Lisa Hug,TRES,AE,9-14,38.11624,-122.64727
Incidental,5/18/2022,Daphne Hatch,WTSW,AE,12-2,38.11801,-122.56647
Incidental,5/18/2022,Daphne Hatch,NRWS,AE,12-2,38.11801,-122.56647
Incidental,4/30/2025,Daphne Hatch,BEKI,AE,9-14,38.1182234,-122.6390257
Incidental,5/8/2021,David Sexton,BLPH,AE,12-2,38.11882,-122.564258
Incidental,4/18/2024,Rusty Scalf,TRES,AE,12-2,38.119587,-122.564172
Incidental,4/19/2022,Patricia Diluzio,EUST,AE,12-1,38.1226552,-122.6025684
Incidental,5/5/2024,Daphne Hatch,CLSW,AE,12-2,38.12269,-122.56551
Incidental,4/27/2023,Daphne Hatch,TRES,AE,11-11,38.12821,-122.595932
Incidental,6/22/2022,Nancy Hanson,VGSW,AE,9-24,38.1348061,-122.899357
Incidental,5/6/2021,Sylvie Silverstein,ACWO,AE,11-11,38.1427,-122.6036
Incidental,5/6/2021,Sylvie Silverstein,WBNU,AE,11-11,38.1428,-122.6039
Incidental,5/16/2022,"Hunn, Eugene",CLSW,AE,8-21,38.16147,-122.675
Incidental,6/11/2024,Evan Weissman,WEKI,AE,11-10,38.16343,-122.56922
Incidental,5/30/2024,David Lumpkin,HOFI,AE,2-22,38.165977,-122.900262
Incidental,5/2/2025,Scott Jennings,SOSP,AE,2-20,38.168049,-122.89958
Incidental,5/7/2021,"Hunn, Eugene",CLSW,AE,8-7,38.169064,-122.720449
Incidental,5/27/2025,David Lumpkin,BUSH,AE,2-20,38.169793,-122.898715
Incidental,5/21/2024,David Lumpkin,RTHA,AE,2-20,38.1701705,-122.8959847
Incidental,7/24/2023,Nils Warnock,AMRO,AE,2-20,38.170509,-122.899064
Incidental,6/11/2025,Rusty Scalf,TRES,AE,5-8,38.182012,-122.838584
Incidental,6/17/2022,Beth Schriock,WEGU,AE,2-8,38.1825,-122.965556
Incidental,6/7/2022,Scott Jennings,DCCO,AE,2-17,38.1971314,-122.9352479
Incidental,6/1/2021,Scott Jennings,DCCO,AE,2-17,38.19713653,-122.9352748
Incidental,4/8/2025,Lisa Hug,RSHA,AE,2-14,38.2457,-122.9055
Incidental,6/25/2024,Lisa Hug,CLSW,AE,1-22,38.27276,-122.90095
Incidental,5/10/2024,Whitney Mortimer,ABOW,AE,1-8,38.301317,-122.952543
Incidental,4/26/2025,Natalie,OATI,AE,16-3,37.89468,-122.49623
Incidental,4/25/2025,Natalie Clark,WEBL,AE,12-9,38.030404,-122.617141
Incidental,5/24/2023,Linnea Bartling,DOWO,AE,11-12,38.128566,-122.583449
Incidental,3/24/2021,Alex Merritt,NOFL,N,14-13,37.862898,-122.537796
Incidental,3/20/2022,David Sexton,PAWR,N,14-2,37.8652,-122.5764
Incidental,3/24/2024,Nancy Hanson,BEWR,N,13-22,37.89928757,-122.5199584
Incidental,3/12/2024,Natalie Clark,PAWR,N,13-5,37.947787,-122.603404
Incidental,4/26/2024,Maggie Brown,PAWR,N,9-23,38.00981,-122.68064
Incidental,4/24/2022,David Sexton,MAWR,N,12-22,38.0286,-122.5257
Incidental,3/17/2022,Bob Battagin,BEWR,N,12-21,38.030257,-122.549596
Incidental,4/30/2021,Juan Garcia,MAWR,N,6-19,38.05791,-122.80954
Incidental,3/11/2022,William Legge,RECR,NB,14-18,37.832876,-122.535256
Incidental,3/8/2022,Bob Battagin,BUSH,NB,14-15,37.833919,-122.541482
Incidental,7/21/2022,David MacKenzie,WIWA,NB,14-2,37.8635,-122.5821
Incidental,5/9/2022,David MacKenzie,BUSH,NB,14-2,37.8635,-122.5821
Incidental,5/11/2021,DAVID MACKENZIE,CALT,NB,14-2,37.863584,-122.58191
Incidental,5/6/2022,Evan Weissman,VGSW,NB,17-13,37.86762602,-122.4243865
Incidental,4/28/2022,Evan Weissman,HOFI,NB,17-13,37.869428,-122.426326
Incidental,4/10/2021,DAVID MACKENZIE,CBCH,NB,13-12,37.87849,-122.57882
Incidental,5/1/2025,Sylvie Silverstein,BRBL,NB,13-24,37.8804,-122.52634
Incidental,5/30/2023,Lynn Perry,HOFI,NB,13-24,37.89471,-122.52148
Incidental,3/17/2022,Bob Battagin,BUSH,NB,13-22,37.895863,-122.525966
Incidental,5/17/2022,Dave Hudson,CLSW,NB,13-22,37.89646,-122.52509
Incidental,5/13/0023,Natalie Clark,WEBL,NB,10-21,37.899196,-122.639304
Incidental,3/28/2024,Diana Humple,WTKI,NB,10-10,37.9037,-122.69729
Incidental,4/7/2021,Sylvie Silverstein,BUSH,NB,13-21,37.9148,-122.532
Incidental,6/27/2021,Sylvie Silverstein,ANHU,NB,13-21,37.9156,-122.5319
Incidental,3/9/0022,Nancy and Dean Hanson,BUSH,NB,10-8,37.92009863,-122.6910197
Incidental,4/24/2021,Megan Elrod,CASJ,NB,10-8,37.9206783,-122.6917408
Incidental,3/31/2024,Diana Humple & Carleton Eyster,HUVI,NB,10-8,37.92686,-122.71458
Incidental,5/10/2024,Sam Eberhard,BGGN,NB,13-8,37.9295,-122.57497
Incidental,4/28/2021,Mark Dettling,DEJU,NB,10-7,37.929777,-122.735377
Incidental,5/16/2021,Mark Dettling,HUVI,NB,10-7,37.930067,-122.735108
Incidental,3/26/2022,Mark Dettling,RBNU,NB,10-7,37.93151,-122.73677
Incidental,5/10/2024,Natalie Clark,VGSW,NB,13-19,37.936003,-122.538906
Incidental,3/15/2022,Bob Battagin,ANHU,NB,13-18,37.94393,-122.503454
Incidental,7/6/2022,Nancy Hanson,PBGR,NB,13-5,37.94776361,-122.5941349
Incidental,4/10/2022,Patricia Diluzio,AMCR,NB,13-2,37.98289,-122.56977
Incidental,,Diana Humple,BUSH,NB,10-1,37.985002,-122.747995
Incidental,4/9/2023,Rusty Scalf,HOFI,NB,16-1,37.98836389,-122.4625556
Incidental,3/27/2022,Patricia ,COHA,NB,13-13,37.98977,-122.56041
Incidental,4/16/2022,Patricia DiLuzio,CASJ,NB,13-2,37.9899016,-122.5735296
Incidental,4/20/2022,Nancy Hanson,BARS,NB,3-11,37.99582771,-123.023063
Incidental,4/20/2022,Nancy Hanson,CORA,NB,3-11,37.99655953,-123.0206969
Incidental,4/1/2023,David Hudson,AMCR,NB,7-14,37.99807,-122.759
Incidental,6/26/2024,Megan Elrod,SWTH,NB,9-12,38.011944,-122.7005
Incidental,4/16/2021,liz lewis,WEBL,NB,12-24,38.011987,-122.501644
Incidental,5/12/2023,Mark Dettling,WEFL,NB,9-12,38.01203,-122.70053
Incidental,4/16/2021,liz lewis,SOSP,NB,12-24,38.012741,-122.501602
Incidental,6/4/2021,Nancy Hanson,HOFI,NB,9-23,38.0134558,-122.6606345
Incidental,3/30/2022,Ann Linder,EUST,NB,9-23,38.0166,-122.6771
Incidental,3/21/2025,Maggie Brown,GBHE,NB,12-24,38.017321,-122.529757
Incidental,2/28/2022,Bob Battagin,BUSH,NB,12-24,38.018599,-122.523073
Incidental,4/26/2023,Bob Battagin,WEFL,NB,9-10,38.022679,-122.703849
Incidental,2/10/2023,Bob Battagin,CORA,NB,12-22,38.025187,-122.519087
Incidental,4/4/2021,Susan Kelly,CORA,NB,12-22,38.03156667,-122.5038
Incidental,4/10/2022,Ann Linder,BUSH,NB,6-21,38.0382,-122.7923
Incidental,4/10/2022,Ann Linder,COYE,NB,6-21,38.0384,-122.7907
Incidental,4/10/2022,Ann Linder,CBCH,NB,6-21,38.03857,-122.7927
Incidental,4/10/2022,Ann Linder,BLPH,NB,6-21,38.0388,-122.7859
Incidental,4/10/2022,Ann Linder,SOSP,NB,6-21,38.0389,-122.794
Incidental,5/18/2024,dominik mosur,BARS,NB,3-9,38.04025,-122.9793056
Incidental,5/3/2022,Nancy Hanson,WEWV,NB,6-21,38.04031001,-122.7958786
Incidental,3/30/2022,Ann Linder,BUSH,NB,6-21,38.0407,-122.7988
Incidental,4/29/2021,Juan Garcia,BUSH,NB,6-21,38.04096,-122.79953
Incidental,4/1/2022,Patricia Diluzio,BUSH,NB,6-21,38.04179,-122.79709
Incidental,4/29/2021,Juan Garcia,EUST,NB,6-19,38.04245,-122.80227
Incidental,5/6/2022,Nancy Hanson,WEWP,NB,9-7,38.04392931,-122.7488783
Incidental,7/9/2021,Nancy Hanson,HOFI,NB,9-7,38.04413551,-122.7480166
Incidental,6/18/2021,Nancy Hanson,CALT,NB,9-7,38.04421691,-122.74889
Incidental,6/18/2021,Nancy Hanson,CHSP,NB,9-7,38.04421691,-122.74889
Incidental,5/28/2021,Nancy Hanson,HOFI,NB,9-7,38.0442453,-122.7494581
Incidental,5/28/2021,Nancy Hanson,TRES,NB,9-7,38.04428893,-122.7492721
Incidental,6/3/2022,Nancy Hanson,VGSW,NB,9-7,38.04438358,-122.7494274
Incidental,4/7/2022,Bob Battagin,CBCH,NB,6-20,38.0488958,-122.7565806
Incidental,6/16/2021,Nancy Hanson,CLSW,NB,6-20,38.04994567,-122.7597156
Incidental,6/6/2022,Patricia Diluzio,CLSW,NB,6-20,38.0503125,-122.7597979
Incidental,4/23/2022,Bob Battagin,CORA,NB,6-20,38.050447,-122.759878
Incidental,3/8/0022,Nancy and Dean Hanson,HUVI,NB,12-20,38.05271757,-122.5121581
Incidental,4/4/2021,Juan Garcia,BUSH,NB,6-8,38.05730706,-122.8141836
Incidental,4/18/2021,Juan Garcia,PUFI,NB,6-8,38.05757717,-122.8158849
